feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1519179	Edds Mountain	Summit	Ferry	Edds Mountain	48.557597	-118.537329		
1528930	Eddys Mountain	Summit	Whatcom	Acme	48.664517	-122.163066		
1519195	Edward Peak	Summit	Chelan	Cashmere Mountain	47.512653	-120.753107		
1519199	Egg Butte	Summit	Lewis	Old Snowy Mountain	46.535184	-121.462226		
1519213	Eightmile Mountain	Summit	Chelan	Jack Ridge	47.532027	-120.897387		
1519215	Eightmile Peak	Summit	Okanogan	Billy Goat Mountain	48.780607	-120.352329		
1519218	El Capitan	Summit	Snohomish	Evergreen Mountain	47.842996	-121.369895		
1519235	Elbow Peak	Summit	Kittitas	Cle Elum Lake	47.341796	-121.013165		
1519242	Eldorado Peak	Summit	Skagit	Eldorado Peak	48.537620	-121.134268		
1534612	Electric Point	Summit	Stevens	Leadpoint	48.883007	-117.545406		
1519252	Elephant Butte	Summit	Whatcom	Mount Prophet	48.792481	-121.218681		
1504704	Elephant Mountain	Summit	Yakima	Elephant Mountain	46.522067	-120.334489		
1529896	Elephant Rock	Summit	Chelan	Lucerne	48.225102	-120.623825		
1512184	Elk Mountain	Summit	Wahkiakum	Grays River	46.327980	-123.551005		
1519286	Elk Mountain	Summit	Cowlitz	Elk Mountain	46.132045	-122.462311		
1519287	Elk Mountain	Summit	Clallam	Maiden Peak	47.924447	-123.351945		
1519290	Elk Peak	Summit	Lewis	Hamilton Buttes	46.426499	-121.573149		
1512185	Elk Point	Summit	Garfield	Pinkham Butte	46.215290	-117.489866		
1519293	Elk Rock	Summit	Cowlitz	Elk Rock	46.296492	-122.346477		
1519301	Elkhorn Mountain	Summit	Clark	Larch Mountain	45.739156	-122.372628		
1519303	Ellemeham Mountain	Summit	Okanogan	Bullfrog Mountain	48.931126	-119.619030		
1519313	Ellis Mountain	Summit	Clallam	Ellis Mountain	48.158291	-124.314666		
1512191	Elwood Hill	Summit	Pierce	Fort Lewis	47.067592	-122.621502		
1519329	Embrey Hill	Summit	Stevens	Chewelah	48.292799	-117.688475		
1519337	Emerald Peak	Summit	Chelan	Saska Peak	48.114930	-120.628972		
1504750	Emerson Nipple	Summit	Benton	Emerson Nipple	46.604571	-119.854005		
1504753	Empey Mountain	Summit	Stevens	Empey Mountain	48.088263	-117.897062		
1519347	End Mountain	Summit	Okanogan	South Navarre Peak	48.119022	-120.273682		
1504764	Entrance Mountain	Summit	San Juan	Mount Constitution	48.635713	-122.848654		
1519367	Enumclaw Mountain	Summit	King	Cumberland	47.251860	-121.897968		
1519380	Esmeralda Peaks	Summit	Kittitas	Mount Stuart	47.437514	-120.948054		
1519381	Estes Butte	Summit	Chelan	Trinity	48.018678	-120.792219		
1512196	Evans Hill	Summit	Pierce	Nisqually	47.057314	-122.646225		
1519407	Everett Peak	Summit	Clallam	Mount Carrie	47.964934	-123.737745		
1519412	Evergreen Mountain	Summit	Snohomish	Evergreen Mountain	47.836491	-121.263977		
1519421	Excelsior Mountain	Summit	Snohomish	Blanca Lake	47.910830	-121.289963		
1528479	Excelsior Peak	Summit	Whatcom	Bearpaw Mountain	48.934931	-121.789934		
1519447	Fall Mountain	Summit	Chelan	Benchmark Mountain	47.886026	-121.130151		
1512200	False Summit	Summit	San Juan	Mount Constitution	48.665932	-122.832945		
1519472	False Summit (historical)	Summit	Skamania	Mount Saint Helens	46.200388	-122.185096		
1504797	Fancher Butte	Summit	Spokane	Medical Lake	47.577336	-117.731508		
1533564	Faraway Rock	Summit	Lewis	Mount Rainier East	46.774034	-121.719302		
1519477	Farewell Peak	Summit	Okanogan	Doe Mountain	48.740972	-120.216466		
1519485	Fawn Peak	Summit	Okanogan	Rendevous Mountain	48.617717	-120.328622		
1519488	Fay Peak	Summit	Pierce	Mowich Lake	46.932132	-121.848626		
1519491	Fell Hill	Summit	King	Enumclaw	47.246782	-121.951317		
1504861	Ferrier Peak	Summit	Lewis	Boistfort Peak	46.403356	-123.212936		
1529594	Ferrous Point	Summit	Skamania	French Butte	46.359200	-121.936207		
1519505	Ferry Peak	Summit	Chelan	Prince Creek	48.133700	-120.401615		
1513006	Fiddle Butte	Summit	Douglas	Electric City	47.970759	-119.014603		
1519513	Fifes Peaks	Summit	Yakima	Goose Prairie	46.974598	-121.328502		
1519520	Fifth of July Mountain	Summit	Chelan	Saska Peak	48.048269	-120.741472		
1519531	Finley Mountain	Summit	Okanogan	Thrapp Mountain	48.315775	-119.962944		
1512208	Finn Hill	Summit	Lewis	Winlock	46.454744	-122.931481		
1519540	Finney Peak	Summit	Skagit	Finney Peak	48.380461	-121.745612		
1519541	Finney Peak	Summit	Chelan	Prince Creek	48.213573	-120.464804		
1519550	Fir Mountain	Summit	Okanogan	Wauconda Summit	48.665453	-118.934852		
1519557	Fire Mountain	Summit	Snohomish	Lime Mountain	48.166815	-121.193809		
1519558	Fire Mountain	Summit	Ferry	Edds Mountain	48.508125	-118.572285		
1519561	First Butte	Summit	Okanogan	Pearrygin Peak	48.619116	-120.108831		
1510078	First Hill	Summit	King	Mercer Island	47.582594	-122.240942		
1519573	First Thought Mountain	Summit	Stevens	Laurier	48.896913	-118.166291		
1519574	First Top	Summit	Clallam	Port Angeles	48.016461	-123.457526		
1519610	Fisher Peak	Summit	Skagit	Mount Arriva	48.545220	-120.823878		
1512212	Fitch Hill	Summit	Pierce	Nisqually	47.049262	-122.671459		
1519619	Fitzgerald Peak	Summit	Grays Harbor	Colonel Bob	47.375174	-123.661034		
1519629	Flag Mountain	Summit	Kittitas	Liberty	47.256271	-120.643158		
1519630	Flagg Mountain	Summit	Okanogan	Mazama	48.598776	-120.385054		
1519631	Flagg Mountain	Summit	Okanogan	Washington Pass	48.623615	-120.631565		
1519632	Flagstaff Mountain	Summit	Stevens	Northport	48.908642	-117.868756		
1513366	Flat Top Hill	Summit	Benton	Richland	46.299689	-119.356260		
1519645	Flatiron	Summit	Okanogan	Aeneas Lake	48.673499	-119.561287		
1519646	Flattop Mountain	Summit	Skamania	Trout Lake	46.028094	-121.614621		
1519655	Flora Mountain	Summit	Chelan	Pinnacle Mountain	48.243012	-120.695402		
1519657	Florence Peak	Summit	Pierce	Golden Lakes	46.971554	-121.901520		
1519658	Flower Dome	Summit	Snohomish	Suiattle Pass	48.146022	-120.976802		
1519676	Foggy Peak	Summit	Snohomish	Blanca Lake	47.997808	-121.365948		
1512216	Folsom Hill	Summit	Pierce	Fort Lewis	47.052102	-122.508982		
1519683	Forbidden Peak	Summit	Skagit	Forbidden Peak	48.511652	-121.058413		
1512218	Ford Hill	Summit	Pierce	Fox Island	47.297120	-122.638934		
